"Reference";"Qty";"IPN";"Value";"MAN";"DNP";"MPN"
"C301,C302";"2";"C_0603_10uF_10V";"10uF 10V";"Samsung";"";"CL10A106MP8NNNC"
"D301,D302,D303";"3";"TVS_5V_BIDIR_SOD323";"TVS 5V";"ProTek Devices";"";"PSD05C-LF-T7"
"D304,D305,D306,D307";"4";"LED_0805_Green";"LED GREEN";"Wurth";"";"150080GS75000"
"F301";"1";"Polyswitch_1.1A_24V";"1.1A";"Littlefuse";"";"1812L110/24DR "
"IR301";"1";"IR_REMOTE_RECEIVER";"IR_REMOTE_RECEIVER";"Everlight Elec";"";"IRM-H638T/TR2"
"J301";"1";"EMB_P3.81_1x02_VERTICAL";"EMB_P3.81_1x02_VERTICAL";"Ningbo Kangnex Elec ";"";"WJ15EDGVC-3.81-2P"
"J302";"1";"EMB_P3.81_1x04_VERTICAL";"EMB_P3.81_1x04_VERTICAL";"Ningbo Kangnex Elec ";"";"WJ15EDGVC-3.81-4P"
"PLUG301";"1";"PLUG_P3.81_1x02_BORNIER_VIS";"PLUG_P3.81_1x02_BORNIER_VIS";"Ningbo Kangnex Elec ";"";"WJ15EDGK-3.81-2P"
"PLUG302";"1";"PLUG_P3.81_1x04_BORNIER_VIS";"PLUG_P3.81_1x04_BORNIER_VIS";"Ningbo Kangnex Elec ";"";"WJ15EDGK-3.81-4P"
"Q301";"1";"Q_MOS-P_20V_2A";"MOS P 20V 2A";"ALLPOWER";"";"AP2301B"
"R301";"1";"R_0402_100k";"100k";"YAGEO";"";"RC0402FR-07100KL"
"R302";"1";"R_0402_100R";"100R";"YAGEO";"";"RC0402FR-07100RL"
"R303,R304,R305,R306";"4";"R_0603_330R";"330R";"UNI-ROYAL";"";"0603WAF3300T5E"
"TP301";"1";"";"TestVCC";"";"";""
"TP302";"1";"";"TestGND";"";"";""
"TP303";"1";"";"TestLED";"";"";""
"TP304";"1";"";"TestCapteur";"";"";""
"U301";"1";"Raspberry-Pi-Pico";"Raspberry-Pi-Pico_Linked";"Raspberry";"";"Raspberry Pi Pico"
